id,infinitive,past,past_participle,translation
1,abide,abode (abided),abode (abided),"обитать, пребывать"
2,arise,arose,arisen,"подняться, возникнуть"
3,awake,awoke,awoken,"будить, проснуться"
4,backbite,backbitten,backbitten,клеветать
5,backslide,backslid,backslid,отпадать
6,be,was (were),been,"быть, находиться"
7,bear,bore,born (borne),"носить, выносить"
8,beat,beat,beaten,бить
9,become,became,become,становиться
10,befall,befell,befallen,случиться
11,beget,begot (begat),begotten,порождать
12,begin,began,begun,начинать(ся)
13,begird,begirt,begirt,опоясывать
14,behold,beheld,beheld,"видеть, замечать"
15,bend,bent,bent (bended),гнуть(ся)
16,bereave,bereft (bereaved),bereft (bereaved),лишать
17,beseech,besought (beseeched),besought (beseeched),"умолять, упрашивать"
18,beset,beset,beset,осаждать
19,bespeak,bespoke,bespoke (bespoken),заказывать
20,bespit,bespat,bespat,заплёвывать
21,bestride,bestrode,bestridden,"садиться, сидеть верхом"
22,bet,bet (betted),bet (betted),держать пари
23,betake,betook,betaken,"приниматься, отправляться"
24,bid,"bad (bade, bid)",bid (bidden),"велеть, просить"
25,bind,bound,bound,связать
26,bite,bit,bit (bitten),кусать
27,bleed,bled,bled,кровоточить
28,bless,blessed,blessed (blest),благословлять
29,blow,blew,blown (blowed),дуть
30,break,broke,broken,(с)ломать
31,breed,bred,bred,выращивать
32,bring,brought,brought,принести
33,broadcast,broadcast,broadcast,"распространять, разбрасывать"
34,browbeat,browbeat,browbeaten,запугивать
35,build,built,built,строить
36,burn,burnt (burned),burnt (burned),"жечь, гореть"
37,burst,burst,burst,"разразиться, взорваться"
38,bust,bust (busted),bust (busted),разжаловать
39,buy,bought,bought,купить
40,can,could,been able,"мочь, уметь"
41,cast,cast,cast,"бросать, кидать"
42,catch,caught,caught,"ловить, поймать"
43,chide,chid (chided),"chid (chided, chidden)",бранить
44,choose,chose,chosen,выбирать
45,cleave,"clove (cleft, cleaved)","cloven (cleft, cleaved)",рассечь
46,cling,clung,clung,цеплять(ся)
47,come,came,come,приходить
48,cost,cost,cost,стоить
49,countersink,countersank,countersunk,зенковать
50,creep,crept,crept,ползать
51,crow,crowed (crew),crowed,петь (о петухе)
52,cut,cut,cut,резать
53,dare,durst (dared),dared,сметь
54,deal,dealt,dealt,иметь дело
55,dig,dug,dug,копать
56,dive,dove (dived),dived,"нырять, погружаться"
57,do,did,done,делать
58,draw,drew,drawn,"рисовать, тащить"
59,dream,dreamt (dreamed),dreamt (dreamed),"видеть сны, мечтать"
60,drink,drank,drunk,пить
61,drive,drove,driven,"водить, гнать"
62,dwell,dwelt,dwelt (dwelled),обитать
63,eat,ate,eaten,"кушать, есть"
64,fall,fell,fallen,падать
65,feed,fed,fed,кормить
66,feel,felt,felt,чувствовать
67,fight,fought,fought,сражаться
68,find,found,found,находить
69,flee,fled,fled,"бежать, спасаться"
70,fling,flung,flung,швырять
71,floodlight,floodlighted (floodlit),floodlighted (floodlit),освещать прожектором
72,fly,flew,flown,летать
73,forbear,forbore,forborne,воздерживаться
74,forbid,forbad (forbade),forbidden,запрещать
75,forecast,forecast (forecasted),forecast (forecasted),предсказывать
76,foresee,foresaw,foreseen,предвидеть
77,foretell,foretold,foretold,предсказывать
78,forget,forgot,forgotten,забыть
79,forgive,forgave,forgiven,простить
80,forsake,forsook,forsaken,покидать
81,forswear,forswore,forsworn,отрекаться
82,freeze,froze,frozen,"замерзнуть, замораживать"
83,gainsay,gainsaid,gainsaid,"отрицать, противоречить"
84,get,got,gotten (got),получить
85,gild,gilt,gilt,позолотить
86,gird,girded (girt),girded (girt),опоясывать
87,give,gave,given,дать
88,go,went,gone,"идти, уходить"
89,grave,graved,graved (graven),гравировать
90,grind,ground,ground,"точить, молоть"
91,grow,grew,grown,расти
92,hamstring,hamstringed (hamstrung),hamstringed (hamstrung),подрезать поджилки
93,hang,hung (hanged),hung (hanged),"висеть, повесить"
94,have,had,had,иметь
95,hear,heard,heard,слушать
96,heave,heaved (hove),heaved (hove),подымать(ся)
97,hew,hewed,hewed (hewn),"рубить, тесать"
98,hide,hid,hidden,прятать(ся)
99,hit,hit,hit,ударить
100,hold,held,held,"держать, проводить"
101,hurt,hurt,hurt,"ранить, обижать"
102,inlay,inlaid,inlaid,"вкладывать, инкрустировать"
103,input,input (inputted),input (inputted),вводить (данные)
104,inset,inset,inset,"вставлять, вкладывать"
105,interweave,interwove,interwoven,воткать
106,keep,kept,kept,хранить
107,ken,kenned (kent),kenned,"знать, узнавать по виду"
108,kneel,knelt (kneeled),knelt (kneeled),становиться на колени
109,knit,knit (knitted),knit (knitted),вязать
110,know,knew,known,знать
111,lade,laded,"laded, laden",грузить
112,lay,laid,laid,класть
113,lead,led,led,вести
114,lean,leant,leant,опираться
115,leap,leapt,leapt,прыгать
116,learn,learnt (learned),learnt,учить(ся)
117,leave,left,left,"оставлять, уезжать"
118,lend,lent,lent,давать взаймы
119,let,let,let,позволять
120,lie,lay,lain,лежать
121,light,lit (lighted),lit (lighted),осветить
122,lose,lost,lost,терять
123,make,made,made,делать
124,may,might,might,"мочь, иметь возможность"
125,mean,meant,meant,подразумевать
126,meet,met,met,встретить
127,miscast,miscast,miscast,неправильно распределять роли
128,misdeal,misdealt,misdealt,поступать неправильно
129,misgive,misgave,misgiven,внушать опасения
130,mishear,misheard,misheard,ослышаться
131,mishit,mishit,mishit,промахнуться
132,mislay,mislaid,mislaid,класть не на место
133,mislead,misled,misled,ввести в заблуждение
134,misread,misread,misread,неправильно истолковывать
135,misspell,misspelt (misspeled),misspelt (misspeled),писать с ошибками
136,misspend,misspent,misspent,экономить
137,mistake,mistook,mistaken,неправильно понимать
138,misunderstand,misunderstood,misunderstood,неправильно понимать
139,mow,mowed,mown (mowed),косить
140,outbid,outbid,outbid,перебивать цену
141,outdo,outdid,outdone,превосходить
142,outfight,outfought,outfought,побеждать (в бою)
143,outgrow,outgrew,outgrown,вырастать из
144,output,output (outputted),output (outputted),выходить
145,outrun,outran,outrun,"перегонять, опережать"
146,outsell,outsold,outsold,продавать лучше или дороже
147,outshine,outshone,outshone,затмевать
148,overbid,overbid,overbid,повелевать
149,overcome,overcame,overcome,компенсировать
